epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8639,1.6257,2.7009,1.79221,0.70828,0.76431,0.73832,0.35538,1.72539,1.47891,1.80702,0.000414439,0.000414439,0.000414439
2,29.8858,1.4591,1.46871,1.65192,0.79101,0.83579,0.82547,0.45943,1.58071,1.06548,1.62976,0.000810535,0.000810535,0.000810535
3,43.6474,1.38339,1.221,1.57581,0.76605,0.89841,0.88056,0.51954,1.48406,0.95567,1.51449,0.00118601,0.00118601,0.00118601
4,57.3953,1.31825,1.07659,1.52069,0.83052,0.86017,0.89206,0.5397,1.45813,0.88357,1.49218,0.00115719,0.00115719,0.00115719
5,71.1034,1.32339,1.0471,1.51826,0.86012,0.89259,0.90069,0.53843,1.45381,0.873,1.45944,0.00112625,0.00112625,0.00112625
6,84.7872,1.26811,0.94632,1.46399,0.85201,0.88828,0.90681,0.54369,1.44146,0.82726,1.4534,0.00109531,0.00109531,0.00109531
7,98.4403,1.2803,0.96737,1.48274,0.86156,0.88187,0.91429,0.55263,1.40593,0.81413,1.40797,0.00106437,0.00106437,0.00106437
8,112.108,1.25098,0.93298,1.46489,0.82866,0.93617,0.9055,0.56672,1.36824,0.8005,1.44544,0.00103344,0.00103344,0.00103344
9,125.869,1.23359,0.8811,1.43923,0.84127,0.90623,0.91356,0.58764,1.276,0.78203,1.37636,0.0010025,0.0010025,0.0010025
10,139.779,1.22129,0.88278,1.4379,0.85469,0.90334,0.9012,0.58461,1.28704,0.77014,1.36294,0.000971562,0.000971562,0.000971562
11,153.433,1.20419,0.8652,1.42306,0.84356,0.91627,0.91385,0.58966,1.29533,0.77401,1.35432,0.000940625,0.000940625,0.000940625
12,166.95,1.19935,0.83669,1.40986,0.88046,0.90065,0.92392,0.62179,1.18212,0.72142,1.31149,0.000909688,0.000909688,0.000909688
13,180.88,1.18482,0.84026,1.41065,0.87017,0.90167,0.91979,0.61722,1.22987,0.74212,1.33069,0.00087875,0.00087875,0.00087875
14,194.562,1.17389,0.81395,1.40991,0.88004,0.88317,0.9287,0.60122,1.24893,0.73711,1.3451,0.000847813,0.000847813,0.000847813
15,208.131,1.16576,0.80322,1.3903,0.85644,0.92727,0.92551,0.61101,1.23167,0.71471,1.31105,0.000816875,0.000816875,0.000816875
16,221.775,1.154,0.80228,1.37823,0.83814,0.91939,0.92315,0.63054,1.18568,0.70715,1.30355,0.000785938,0.000785938,0.000785938
17,235.587,1.14347,0.79035,1.38955,0.83528,0.90331,0.89881,0.61171,1.16157,0.75438,1.30927,0.000755,0.000755,0.000755
18,249.438,1.14916,0.81101,1.40013,0.8149,0.93346,0.92298,0.609,1.22596,0.69049,1.32042,0.000724062,0.000724062,0.000724062
19,263.317,1.14384,0.77994,1.38677,0.87147,0.90552,0.92907,0.63099,1.17773,0.7069,1.29549,0.000693125,0.000693125,0.000693125
20,277.283,1.12466,0.76642,1.37333,0.84986,0.9245,0.92458,0.62572,1.18587,0.66941,1.31052,0.000662188,0.000662188,0.000662188
21,291.113,1.11589,0.74871,1.36204,0.89626,0.87412,0.93861,0.634,1.16703,0.672,1.28446,0.00063125,0.00063125,0.00063125
