epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9661,1.94845,1.58012,1.74556,0.61431,0.48268,0.42115,0.2069,2.06014,1.59581,1.84119,0.000470066,0.000470066,0.000470066
2,35.0806,1.84205,1.49537,1.59001,0.68221,0.48673,0.4453,0.23494,1.98389,1.6682,1.74707,0.00092766,0.00092766,0.00092766
3,51.0192,1.77668,1.42311,1.53871,0.65908,0.47653,0.45645,0.23837,1.95001,1.65567,1.73515,0.00136639,0.00136639,0.00136639
4,66.882,1.73672,1.38483,1.52669,0.65353,0.50296,0.45576,0.2438,1.96858,1.66896,1.7213,0.00134412,0.00134412,0.00134412
5,82.7663,1.72308,1.38778,1.50541,0.64381,0.50566,0.46075,0.24778,1.94635,1.6605,1.68439,0.00131582,0.00131582,0.00131582
6,98.6419,1.69948,1.37483,1.49569,0.68695,0.50018,0.46132,0.24838,1.94214,1.71976,1.68571,0.00128753,0.00128753,0.00128753
7,114.763,1.67918,1.32711,1.495,0.62576,0.52632,0.468,0.2485,1.94105,1.74667,1.72391,0.00125923,0.00125923,0.00125923
8,130.931,1.66101,1.34074,1.48208,0.65802,0.49398,0.46528,0.25447,1.93025,1.71463,1.70181,0.00123094,0.00123094,0.00123094
9,147.161,1.66389,1.31182,1.4762,0.65634,0.49872,0.46859,0.25449,1.93088,1.66497,1.68739,0.00120265,0.00120265,0.00120265
10,163.285,1.63527,1.29252,1.45597,0.65689,0.50824,0.47501,0.25788,1.92943,1.6517,1.70065,0.00117435,0.00117435,0.00117435
11,179.41,1.65555,1.32761,1.47739,0.66171,0.49989,0.47018,0.25935,1.94644,1.64276,1.7242,0.00114606,0.00114606,0.00114606
12,195.48,1.61142,1.2755,1.44719,0.63296,0.50532,0.47072,0.25897,1.9396,1.65379,1.71351,0.00111776,0.00111776,0.00111776
