epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9814,1.25954,0.86396,1.2661,0.78596,0.62978,0.73805,0.48052,1.19456,0.6924,1.21099,0.000413851,0.000413851,0.000413851
2,86.3706,1.13468,0.78273,1.19073,0.77584,0.65176,0.71596,0.48401,1.14117,0.70928,1.17505,0.000822296,0.000822296,0.000822296
3,122.215,1.12491,0.77952,1.1767,0.8549,0.63673,0.7627,0.4876,1.14672,0.72464,1.1812,0.00122249,0.00122249,0.00122249
4,157.793,1.11398,0.76979,1.17999,0.86883,0.6447,0.77366,0.50947,1.13741,0.7151,1.18043,0.00121287,0.00121287,0.00121287
5,193.676,1.10848,0.7605,1.17099,0.71078,0.70705,0.75741,0.50847,1.12488,0.70609,1.17837,0.0012005,0.0012005,0.0012005
6,229.542,1.08397,0.7473,1.1667,0.67934,0.76604,0.76521,0.51508,1.11132,0.69634,1.16994,0.00118812,0.00118812,0.00118812
7,265.507,1.08838,0.74237,1.16385,0.80703,0.66797,0.76053,0.50741,1.10917,0.68345,1.16243,0.00117575,0.00117575,0.00117575
8,301.469,1.0744,0.73222,1.15786,0.80607,0.65131,0.74985,0.50512,1.09612,0.68941,1.1685,0.00116337,0.00116337,0.00116337
9,337.413,1.0465,0.71306,1.14691,0.82018,0.67092,0.77357,0.5179,1.10974,0.68161,1.17152,0.001151,0.001151,0.001151
10,373.387,1.06159,0.71998,1.15087,0.69941,0.77702,0.77592,0.52663,1.0878,0.68249,1.15856,0.00113863,0.00113863,0.00113863
11,409.463,1.05606,0.71286,1.14022,0.69606,0.72192,0.74401,0.51263,1.09406,0.68743,1.15311,0.00112625,0.00112625,0.00112625
12,445.476,1.04282,0.70382,1.1396,0.8567,0.65257,0.76953,0.51537,1.08731,0.68602,1.16019,0.00111388,0.00111388,0.00111388
13,481.569,1.03849,0.70371,1.13422,0.74627,0.68649,0.74692,0.50687,1.08639,0.67588,1.14337,0.0011015,0.0011015,0.0011015
14,517.573,1.04102,0.69308,1.13568,0.76481,0.72236,0.78372,0.54136,1.08854,0.66908,1.15427,0.00108913,0.00108913,0.00108913
15,553.589,1.02305,0.67872,1.12732,0.74778,0.7167,0.78277,0.5269,1.08767,0.66266,1.14776,0.00107675,0.00107675,0.00107675
16,589.593,1.01712,0.67707,1.12787,0.86273,0.68106,0.78093,0.51673,1.07477,0.66612,1.14912,0.00106437,0.00106437,0.00106437
17,625.63,1.01992,0.68118,1.12761,0.78772,0.73131,0.78636,0.54424,1.08505,0.66112,1.15033,0.001052,0.001052,0.001052
18,661.768,1.00999,0.66679,1.11618,0.87706,0.69018,0.80347,0.54887,1.08075,0.64808,1.14291,0.00103962,0.00103962,0.00103962
19,697.834,1.00388,0.66631,1.11174,0.88885,0.66709,0.7952,0.53408,1.07958,0.66119,1.1422,0.00102725,0.00102725,0.00102725
20,733.938,1.00999,0.66161,1.11487,0.76206,0.73865,0.79241,0.54327,1.07689,0.6593,1.14142,0.00101488,0.00101488,0.00101488
21,770.027,0.99521,0.65469,1.11042,0.83853,0.67733,0.77972,0.53943,1.0762,0.66433,1.14212,0.0010025,0.0010025,0.0010025
22,806.044,0.99675,0.66036,1.10841,0.8718,0.65614,0.77347,0.52953,1.08493,0.66564,1.14531,0.000990125,0.000990125,0.000990125
23,842.138,0.99093,0.6532,1.10817,0.72096,0.76333,0.79602,0.53551,1.08647,0.65576,1.14414,0.00097775,0.00097775,0.00097775
24,878.183,0.99763,0.65072,1.11291,0.85249,0.68869,0.79528,0.53975,1.0681,0.65198,1.14131,0.000965375,0.000965375,0.000965375
25,914.219,0.9893,0.64295,1.10474,0.82761,0.71174,0.79818,0.53619,1.07736,0.65385,1.14546,0.000953,0.000953,0.000953
26,950.255,0.97842,0.64396,1.09904,0.72119,0.73147,0.77712,0.52854,1.08128,0.65753,1.15234,0.000940625,0.000940625,0.000940625
27,986.246,0.984,0.63997,1.10567,0.7916,0.73697,0.80369,0.55413,1.0726,0.646,1.139,0.00092825,0.00092825,0.00092825
28,1022.33,0.97468,0.63695,1.09789,0.78658,0.72924,0.79877,0.55255,1.07785,0.64082,1.1464,0.000915875,0.000915875,0.000915875
29,1058.32,0.96863,0.62961,1.09882,0.77838,0.73945,0.79998,0.53482,1.08001,0.6494,1.14268,0.0009035,0.0009035,0.0009035
30,1094.39,0.97351,0.63836,1.09474,0.85395,0.68917,0.79355,0.53656,1.07092,0.64282,1.13511,0.000891125,0.000891125,0.000891125
31,1130.51,0.97214,0.62116,1.09427,0.74149,0.7418,0.79336,0.54477,1.07469,0.64136,1.13938,0.00087875,0.00087875,0.00087875
32,1166.63,0.9661,0.63042,1.09455,0.87542,0.66957,0.80012,0.54714,1.06687,0.64921,1.13835,0.000866375,0.000866375,0.000866375
33,1202.73,0.95919,0.62349,1.09629,0.79136,0.75114,0.80039,0.54582,1.07347,0.64283,1.14649,0.000854,0.000854,0.000854
34,1238.82,0.95668,0.62432,1.09047,0.7438,0.74702,0.78581,0.53046,1.07088,0.64868,1.13777,0.000841625,0.000841625,0.000841625
35,1274.84,0.95972,0.61282,1.08815,0.79731,0.74311,0.79488,0.5484,1.06633,0.64574,1.14084,0.00082925,0.00082925,0.00082925
36,1310.95,0.94939,0.62111,1.08943,0.72823,0.76075,0.78112,0.53924,1.06927,0.63473,1.1317,0.000816875,0.000816875,0.000816875
37,1346.88,0.9383,0.6072,1.08204,0.71155,0.76446,0.76552,0.52207,1.07254,0.64797,1.13988,0.0008045,0.0008045,0.0008045
