epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.845,1.28637,1.85158,1.34503,0.88524,0.46011,0.53702,0.36332,1.11334,1.442,1.31403,0.0033294,0.0033294,0.0033294
2,587.708,1.23742,1.17285,1.27057,0.84066,0.46676,0.53777,0.35985,1.14572,1.20963,1.35385,0.00661876,0.00661876,0.00661876
3,868.566,1.2914,1.12995,1.30472,0.85584,0.38783,0.46428,0.29485,1.31533,1.4828,1.50939,0.00986412,0.00986412,0.00986412
4,1157.79,1.32417,1.12034,1.32978,0.89102,0.43951,0.52318,0.35407,1.143,1.17797,1.39823,0.009802,0.009802,0.009802
5,1441.72,1.27379,1.01264,1.29951,0.87619,0.45144,0.55536,0.35258,1.19861,1.14684,1.39351,0.009736,0.009736,0.009736
6,1725.64,1.24077,0.95617,1.27375,0.89122,0.46835,0.58595,0.40738,1.0832,0.99883,1.31896,0.00967,0.00967,0.00967
7,2012.84,1.2168,0.90546,1.25859,0.89684,0.48527,0.61072,0.42938,1.04862,0.95026,1.28122,0.009604,0.009604,0.009604
8,2298.84,1.20002,0.88218,1.24486,0.86618,0.50448,0.61714,0.43458,1.01361,0.93582,1.2675,0.009538,0.009538,0.009538
9,2579.22,1.18462,0.85692,1.23504,0.88891,0.52347,0.64798,0.45666,0.97528,0.80715,1.23233,0.009472,0.009472,0.009472
10,2873.45,1.1637,0.83161,1.2236,0.89224,0.51999,0.64,0.46611,0.96846,0.80763,1.22588,0.009406,0.009406,0.009406
11,3165.93,1.16124,0.82043,1.22178,0.90957,0.51063,0.65084,0.46267,0.9368,0.79878,1.2038,0.00934,0.00934,0.00934
12,3456.65,1.15631,0.80875,1.21185,0.92081,0.50186,0.6554,0.4806,0.94702,0.77265,1.21367,0.009274,0.009274,0.009274
13,3737.03,1.14561,0.79701,1.20569,0.90707,0.51778,0.65241,0.47995,0.91759,0.73914,1.19123,0.009208,0.009208,0.009208
14,4028.97,1.137,0.78368,1.20349,0.9442,0.51534,0.67238,0.49546,0.91813,0.72113,1.1881,0.009142,0.009142,0.009142
15,4316.09,1.12988,0.77056,1.19609,0.90652,0.54254,0.67622,0.48931,0.91384,0.70648,1.1893,0.009076,0.009076,0.009076
16,4599.57,1.12238,0.76418,1.19281,0.90527,0.53844,0.71311,0.50583,0.90772,0.72092,1.18521,0.00901,0.00901,0.00901
